,Title,Artist,URL
95,Super Mario Brothers Theme,Misc Computer Games,https://tabs.ultimate-guitar.com/tab/misc-computer-games/super-mario-brothers-theme-guitar-pro-484271
96,Back In Black,AC/DC,https://tabs.ultimate-guitar.com/tab/acdc/back-in-black-guitar-pro-260069
97,Europa,Santana,https://tabs.ultimate-guitar.com/tab/santana/europa-guitar-pro-230524
98,Tornado Of Souls,Megadeth,https://tabs.ultimate-guitar.com/tab/megadeth/tornado-of-souls-guitar-pro-560757
99,Snow Hey Oh,Red Hot Chili Peppers,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/snow-hey-oh-guitar-pro-608636
100,Sad But True,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/sad-but-true-guitar-pro-243763
101,Mr Crowley,Ozzy Osbourne,https://tabs.ultimate-guitar.com/tab/ozzy-osbourne/mr-crowley-guitar-pro-227663
102,Born To Be Wild,Steppenwolf,https://tabs.ultimate-guitar.com/tab/steppenwolf/born-to-be-wild-guitar-pro-236288
103,Farewell Ballad,Zakk Wylde,https://tabs.ultimate-guitar.com/tab/zakk-wylde/farewell-ballad-guitar-pro-562203
104,Last Resort,Papa Roach,https://tabs.ultimate-guitar.com/tab/papa-roach/last-resort-guitar-pro-228007
105,Eye Of The Tiger,Survivor,https://tabs.ultimate-guitar.com/tab/survivor/eye-of-the-tiger-guitar-pro-414775
106,You Shook Me All Night Long,AC/DC,https://tabs.ultimate-guitar.com/tab/acdc/you-shook-me-all-night-long-guitar-pro-329132
107,The Godfather Theme,Guns N' Roses,https://tabs.ultimate-guitar.com/tab/guns-n-roses/the-godfather-theme-guitar-pro-220698
108,Black Magic Woman,Santana,https://tabs.ultimate-guitar.com/tab/santana/black-magic-woman-guitar-pro-230518
109,Holy Wars The Punishment Due,Megadeth,https://tabs.ultimate-guitar.com/tab/megadeth/holy-wars-the-punishment-due-guitar-pro-659071
110,Hells Bells,AC/DC,https://tabs.ultimate-guitar.com/tab/acdc/hells-bells-guitar-pro-346714
111,Snuff,Slipknot,https://tabs.ultimate-guitar.com/tab/slipknot/snuff-guitar-pro-733664
112,Get Lucky,Daft Punk,https://tabs.ultimate-guitar.com/tab/daft-punk/get-lucky-guitar-pro-1240819
113,Highway Star,Deep Purple,https://tabs.ultimate-guitar.com/tab/deep-purple/highway-star-guitar-pro-217583
114,Dani California,Red Hot Chili Peppers,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/dani-california-guitar-pro-363231
115,The Unforgiven,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/the-unforgiven-guitar-pro-435790
116,Sunshine Of Your Love,Cream,https://tabs.ultimate-guitar.com/tab/cream/sunshine-of-your-love-guitar-pro-438088
117,Paint It Black,The Rolling Stones,https://tabs.ultimate-guitar.com/tab/the-rolling-stones/paint-it-black-guitar-pro-768877
118,Voodoo Child Slight Return,Jimi Hendrix,https://tabs.ultimate-guitar.com/tab/jimi-hendrix/voodoo-child-slight-return-guitar-pro-237240
119,Zombie,The Cranberries,https://tabs.ultimate-guitar.com/tab/the-cranberries/zombie-guitar-pro-217049
120,Paradise City,Guns N' Roses,https://tabs.ultimate-guitar.com/tab/guns-n-roses/paradise-city-guitar-pro-220663
121,Smells Like Teen Spirit,Nirvana,https://tabs.ultimate-guitar.com/tab/nirvana/smells-like-teen-spirit-guitar-pro-227062
122,Patience,Guns N' Roses,https://tabs.ultimate-guitar.com/tab/guns-n-roses/patience-guitar-pro-220666
123,Ride The Lightning,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/ride-the-lightning-guitar-pro-638127
124,Creep,Radiohead,https://tabs.ultimate-guitar.com/tab/radiohead/creep-guitar-pro-794158
125,All The Small Things,Blink-182,https://tabs.ultimate-guitar.com/tab/blink-182/all-the-small-things-guitar-pro-215354
126,Basket Case,Green Day,https://tabs.ultimate-guitar.com/tab/green-day/basket-case-guitar-pro-242809
127,Nightmare,Avenged Sevenfold,https://tabs.ultimate-guitar.com/tab/avenged-sevenfold/nightmare-guitar-pro-951217
128,Canon Rock,JerryC,https://tabs.ultimate-guitar.com/tab/jerryc/canon-rock-guitar-pro-356297
129,Hallowed Be Thy Name,Iron Maiden,https://tabs.ultimate-guitar.com/tab/iron-maiden/hallowed-be-thy-name-guitar-pro-222100
130,Hotel California,Eagles,https://tabs.ultimate-guitar.com/tab/eagles/hotel-california-guitar-pro-445673
131,Billie Jean,Michael Jackson,https://tabs.ultimate-guitar.com/tab/michael-jackson/billie-jean-guitar-pro-466289
132,Walk,Pantera,https://tabs.ultimate-guitar.com/tab/pantera/walk-guitar-pro-539919
133,My Curse,Killswitch Engage,https://tabs.ultimate-guitar.com/tab/killswitch-engage/my-curse-guitar-pro-467634
134,Aces High,Iron Maiden,https://tabs.ultimate-guitar.com/tab/iron-maiden/aces-high-guitar-pro-222024
135,Blackened,Metallica,https://tabs.ultimate-guitar.com/tab/metallica/blackened-guitar-pro-243658
136,Buried Alive,Avenged Sevenfold,https://tabs.ultimate-guitar.com/tab/avenged-sevenfold/buried-alive-guitar-pro-969297
