,Title,Artist,URL,Check
105,Desperado,Eagles,https://tabs.ultimate-guitar.com/tab/eagles/desperado-guitar-pro-474390,False
106,Daughters,John Mayer,https://tabs.ultimate-guitar.com/tab/john-mayer/daughters-guitar-pro-792735,False
107,Fly Me To The Moon,Frank Sinatra,https://tabs.ultimate-guitar.com/tab/frank-sinatra/fly-me-to-the-moon-guitar-pro-1232730,False
108,Yolanda Be Cool - We No Speak Americano,Misc Unsigned Bands,https://tabs.ultimate-guitar.com/tab/misc-unsigned-bands/yolanda-be-cool-we-no-speak-americano-guitar-pro-989177,False
109,Nutbush City Limits,Ike & Tina Turner,https://tabs.ultimate-guitar.com/tab/ike-tina-turner/nutbush-city-limits-guitar-pro-736478,False
110,Bodysnatchers,Radiohead,https://tabs.ultimate-guitar.com/tab/radiohead/bodysnatchers-guitar-pro-609701,False
111,1901,Phoenix,https://tabs.ultimate-guitar.com/tab/phoenix/1901-guitar-pro-836795,False
112,Longview,Green Day,https://tabs.ultimate-guitar.com/tab/green-day/longview-guitar-pro-861854,False
113,Man I Feel Like A Woman,Shania Twain,https://tabs.ultimate-guitar.com/tab/shania-twain/man-i-feel-like-a-woman-guitar-pro-239956,False
114,You Know Im No Good,Amy Winehouse,https://tabs.ultimate-guitar.com/tab/amy-winehouse/you-know-im-no-good-guitar-pro-774177,False
115,Another Day,Dream Theater,https://tabs.ultimate-guitar.com/tab/dream-theater/another-day-guitar-pro-218480,False
116,I Belong To You,Muse,https://tabs.ultimate-guitar.com/tab/muse/i-belong-to-you-guitar-pro-872516,False
117,No Woman No Cry,Bob Marley,https://tabs.ultimate-guitar.com/tab/bob-marley/no-woman-no-cry-guitar-pro-512334,False
118,Exs And Ohs,Atreyu,https://tabs.ultimate-guitar.com/tab/atreyu/exs-and-ohs-guitar-pro-350991,False
119,Sempurna,Andra and the BackBone,https://tabs.ultimate-guitar.com/tab/andra-and-the-backbone/sempurna-guitar-pro-690606,False
120,Still Loving You,Scorpions,https://tabs.ultimate-guitar.com/tab/scorpions/still-loving-you-guitar-pro-664459,False
121,Breathing,Yellowcard,https://tabs.ultimate-guitar.com/tab/yellowcard/breathing-guitar-pro-246531,False
122,Firework,Katy Perry,https://tabs.ultimate-guitar.com/tab/katy-perry/firework-guitar-pro-1018324,False
123,Melissa,Porno Graffiti,https://tabs.ultimate-guitar.com/tab/porno-graffiti/melissa-guitar-pro-421390,False
124,Dance The Night Away,Van Halen,https://tabs.ultimate-guitar.com/tab/van-halen/dance-the-night-away-guitar-pro-234452,False
125,Feeling Good,Michael Bublé,https://tabs.ultimate-guitar.com/tab/1001338,False
126,Too Young To Die,Jamiroquai,https://tabs.ultimate-guitar.com/tab/jamiroquai/too-young-to-die-guitar-pro-222358,False
127,Born On The Bayou,Creedence Clearwater Revival,https://tabs.ultimate-guitar.com/tab/creedence-clearwater-revival/born-on-the-bayou-guitar-pro-217157,False
128,Seven Nation Army,The White Stripes,https://tabs.ultimate-guitar.com/tab/the-white-stripes/seven-nation-army-guitar-pro-1799369,False
129,Pick Up The Pieces,Average White Band,https://tabs.ultimate-guitar.com/tab/average-white-band/pick-up-the-pieces-guitar-pro-351897,False
130,Octopuss Garden,The Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/octopuss-garden-guitar-pro-408747,False
131,Down,Blink-182,https://tabs.ultimate-guitar.com/tab/blink-182/down-guitar-pro-215399,False
132,Panic Station,Muse,https://tabs.ultimate-guitar.com/tab/muse/panic-station-guitar-pro-1228999,False
133,I Will Always Love You,Whitney Houston,https://tabs.ultimate-guitar.com/tab/whitney-houston/i-will-always-love-you-guitar-pro-647045,False
134,Jackson,Johnny Cash,https://tabs.ultimate-guitar.com/tab/johnny-cash/jackson-guitar-pro-537357,False
135,1901,Phoenix,https://tabs.ultimate-guitar.com/tab/phoenix/1901-guitar-pro-885621,False
136,The Flame,Cheap Trick,https://tabs.ultimate-guitar.com/tab/cheap-trick/the-flame-guitar-pro-216420,False
137,The Black Parade Part 1,My Chemical Romance,https://tabs.ultimate-guitar.com/tab/my-chemical-romance/the-black-parade-part-1-guitar-pro-735327,False
138,Blitzkrieg Bop,Ramones,https://tabs.ultimate-guitar.com/tab/ramones/blitzkrieg-bop-guitar-pro-330672,False
139,Cocaine,J.J. Cale,https://tabs.ultimate-guitar.com/tab/j-j-cale/cocaine-guitar-pro-429754,False
140,Loca,Shakira,https://tabs.ultimate-guitar.com/tab/shakira/loca-guitar-pro-1001316,False
141,Thunder Road,Bruce Springsteen,https://tabs.ultimate-guitar.com/tab/bruce-springsteen/thunder-road-guitar-pro-232281,False
142,Dragon Ball - Dan Dan Kokoro Hikareteku,Misc Cartoons,https://tabs.ultimate-guitar.com/tab/misc-cartoons/dragon-ball-dan-dan-kokoro-hikareteku-guitar-pro-758677,False
143,Mujer Amante,Rata Blanca,https://tabs.ultimate-guitar.com/tab/rata-blanca/mujer-amante-guitar-pro-659977,False
